time,open,high,low,close,Volume,BBPower
2011-12-12,3.37,3.6,3.37,3.48,75.61897495,0.6901940017350694
2011-12-13,3.25,3.59,3.25,3.56,66.15055522,0.440166287201488
2011-12-14,3.42,3.49,3.42,3.47,90.7647307,0.43299967474413315
2011-12-15,3.39,3.45,3.39,3.45,102.74202898,0.30257114978068556
2011-12-16,3.25,3.5,3.25,3.44,84.613001,0.1636324140977301
2011-12-18,3.25,3.5,3.25,3.5,17.24285714,0.10454206922662568
2011-12-19,3.5,3.98,3.5,3.85,134.73429197,0.6838932021942505
2011-12-20,4.75,4.75,4.53,4.55,94.74335338,2.1547656018807864
2011-12-21,4.38,4.38,4.38,4.38,20.89954338,1.4012276587549595
2011-12-22,4.19,4.19,4.17,4.17,8.53526439,0.8610522789328225
2011-12-23,3.86,4.35,3.84,4.22,149.49256188,0.556616239085276
2011-12-24,4.33,4.33,4.33,4.33,27.22479474,0.8799567763588083
2011-12-25,4.32,4.32,4.27,4.27,24.182423,0.7013915225932639
2011-12-26,4.27,4.33,4.27,4.33,56.73660508,0.6011927336513692
2011-12-27,4.33,4.33,4.29,4.29,58.07386739,0.5381652002726023
2011-12-28,4.29,4.3,4.25,4.3,35.55011655,0.39414160023365863
2011-12-29,4.3,4.5,4.3,4.5,36.56096221,0.5235499430574224
2011-12-30,4.26,4.5,4.21,4.21,56.74004969,0.4130428083349331
2011-12-31,4.39,4.58,4.39,4.58,95.3178781,0.5497509785728001
2012-01-01,4.58,5,4.58,5,21.602,0.9340722673481139
2012-01-02,5,5,5,5,19.048,1.1606333720126685
2012-01-03,5.32,5.32,5.14,5.29,88.03728092,1.3719714617251446
2012-01-04,4.93,5.57,4.93,5.57,107.23326023,1.118832681478695
2012-01-05,5.72,6.65,5.72,6.65,94.80182926,2.428999441267453
2012-01-06,6.65,6.9,6,6,33.88274671,2.6648566639435316
2012-01-07,6.8,6.8,6.8,6.8,0.29585799,2.884162854808741
2012-01-08,6.9,7,6.9,7,5,2.7149967326932067
2012-01-09,6.99,6.99,6.23,6.3,66.8693229,1.8328543423084636
2012-01-10,6.24,7.14,6.24,7.14,62.28998018,1.5795894362643965
2012-01-11,7.14,7.33,6.25,7,105.35893402,1.465362373940911
2012-01-12,6.95,7.38,6.51,6.51,82.30163181,1.6460248919493514
2012-01-13,6.8,7.36,6.6,6.6,48.97014484,1.5794499073851584
2012-01-14,6.5,6.5,6.3,6.3,16.836,0.38809992061584975
2012-01-15,7.15,7.15,7.15,7.15,16.6993007,1.6183713605278722
2012-01-16,6.2,7.1,6.2,7.1,12.64929577,0.40146116616674643
2012-01-17,6.5,6.9,6,6,80.51400824,0.1298238567143546
2012-01-18,5.99,7.1,5.99,7.1,133.44676912,0.1155633057551615
2012-01-19,5.52,7,5.52,6.22,246.71581895,-0.37808859506700543
2012-01-20,6.9,6.95,6.55,6.95,95.82599863,0.4587812042282806
2012-01-21,6.3,6.77,6.28,6.77,81.41385241,-0.06247325351861743
2012-01-22,6.79,6.83,6.03,6.79,81.27103303,-0.31926278873024305
2012-01-23,6.5,6.52,6,6.52,94.92062909,-0.6393681046259232
2012-01-24,6.52,6.57,6,6.55,85.44624147,-0.5808869468222184
2012-01-25,6.26,6.86,6,6.31,81.1232564,-0.21504595441904417
2012-01-26,6.27,6.3,5.5,5.5,29.91907058,-0.9786108180734674
2012-01-27,3.8,6.03,3.8,5.88,92.07999287,-2.803094986920115
2012-01-28,4.91,4.91,4.91,4.91,0.25,-2.411224274502956
2012-01-29,5.89,5.9,5.3,5.5,9.45484643,-0.8553350924311056
2012-01-30,5.3,5.58,5.3,5.58,15.16,-1.047430079226662
2012-01-31,5.7,6.22,3.8,5.3,110.50333334,-1.7177972107657098
2012-02-01,5.53,5.99,5.52,5.88,12.05880628,-0.23096903779917888
2012-02-02,5.99,6.28,5.89,6.28,251.00093001,0.3120265390292758
2012-02-03,6.29,6.35,5.93,6.3,155.5524532,0.3160227477393782
2012-02-04,6.35,6.5,5.94,5.94,67.63499409,0.48801949806232425
2012-02-05,5.93,6.15,5.6,5.6,47.85042396,-0.09455471594657894
2012-02-06,5.6,5.9,5.2,5.6,29.17833833,-0.6524754708113525
2012-02-07,5.5,5.88,5.5,5.69,165.40541896,-0.31926468926687424
2012-02-08,5.79,5.87,5.66,5.87,83.57202011,-0.17508401937160567
2012-02-09,5.52,5.89,5.51,5.89,83.60318875,-0.31578630231852056
2012-02-10,5.88,5.88,5.8,5.88,176.93050375,-0.042102544844446754
2012-02-11,5.71,5.71,5.5,5.5,1.8794878,-0.40894503843809726
2012-02-12,5.78,5.78,5.55,5.67,64.8434324,-0.24909574723265493
2012-02-13,5.53,5.79,5.5,5.79,99.78443902,-0.2892249261994193
2012-02-14,5.2,5.8,4.56,4.89,128.34493428,-0.9621927938852171
2012-02-15,4.9,5.08,4.69,4.69,67.78916535,-1.2747366804730431
2012-02-16,4.5,4.98,4.15,4.51,115.6239213,-1.6254885832626087
2012-02-17,4.67,4.8,4.5,4.67,244.67028923,-1.253275928510809
2012-02-18,4.67,4.73,4.14,4.23,254.39025201,-1.384236510152122
2012-02-19,4.38,4.38,4.3,4.38,92.68354434,-1.360774151558962
2012-02-20,4.72,4.72,4.4,4.44,315.93925361,-0.7549492727648248
2012-02-21,4.52,4.58,4.3,4.58,358.44920149,-0.8928136623698508
2012-02-22,4.47,4.59,4.46,4.51,75.30876636,-0.6152688534598729
2012-02-23,4.59,5.22,4.55,5.22,714.84400933,-0.005944731537034897
2012-02-24,5.12,5.22,4.95,4.95,37.59711782,0.3763330872539701
2012-02-25,5.11,5.11,5,5,119.80740151,0.2868569319319745
2012-02-26,4.79,5.07,4.78,4.98,40.9,0.007305941655977755
2012-02-27,4.97,5.1,4.95,5.04,309.05231411,0.17340509284797978
2012-02-28,5.09,5.1,4.71,4.88,440.24138707,-0.049938491844588206
2012-02-29,4.97,5,4.85,4.99,242.23784635,-0.02709013586678921
2012-03-01,4.99,5.05,4.9,5,291.16358119,0.05535131211418065
2012-03-02,4.99,4.99,4.64,4.79,245.97471171,-0.21969887533070231
2012-03-03,4.81,4.99,4.6,4.65,125.91831514,-0.18117046456917407
2012-03-04,4.78,4.81,4.77,4.81,113.6084153,-0.16957468391643626
2012-03-05,4.8,5.06,4.77,5.06,518.05455153,0.02750741378591126
2012-03-06,5,5.05,4.95,4.98,296.62794242,0.17500635467363956
2012-03-07,5.05,5.09,4.93,4.93,373.49234495,0.19000544686312004
2012-03-08,4.94,5.08,4.87,5.01,326.5657549,0.09286181159696039
2012-03-09,5.01,5.07,4.93,4.93,277.58947933,0.14245298136882312
2012-03-10,4.91,4.99,4.85,4.94,114.04892826,-0.020754587398151614
2012-03-11,4.94,5,4.84,5,24.68252609,-0.04064678919841569
2012-03-12,4.85,4.99,4.85,4.99,108.76167997,-0.05484010502721404
2012-03-13,4.99,5.32,4.96,5.3,734.65394306,0.28442276711953074
2012-03-14,5.32,5.44,5.27,5.27,1129.74327664,0.636648086102455
2012-03-15,5.27,5.43,5.27,5.39,633.16784959,0.5256983595163902
2012-03-16,5.3,5.41,5.26,5.26,157.69794429,0.44631287958547716
2012-03-17,5.38,5.42,5.38,5.42,143.87332861,0.48826818250183823
2012-03-18,5.41,5.42,5.24,5.25,412.66352117,0.3213727278587193
2012-03-19,5.24,5.37,4.83,4.83,415.19375675,-0.04168051897824032
2012-03-20,4.82,4.97,4.79,4.79,279.75591707,-0.38715473055277805
2012-03-21,4.9,4.96,4.9,4.96,9.32862903,-0.2547040547595243
2012-03-22,4.86,4.98,4.72,4.91,396.4109947,-0.3726034755081633
2012-03-23,4.73,4.89,4.6,4.78,393.13018477,-0.5093744075784263
2012-03-24,4.72,4.83,4.62,4.83,191.53850932,-0.5008923493529354
2012-03-25,4.61,4.84,4.54,4.54,15.47357192,-0.44647915658823134
2012-03-26,4.6,4.75,4.54,4.73,64.76455997,-0.4841249913613419
2012-03-27,4.54,4.97,4.54,4.84,369.59079623,-0.2506785640240068
2012-03-28,4.75,4.95,4.72,4.93,418.64896343,-0.10486734059200487
2012-03-29,4.93,4.93,4.77,4.84,110.39370311,-0.0613148633645757
2012-03-30,4.81,4.91,4.76,4.88,161.39879423,-0.09112702574106457
2012-03-31,4.9,4.92,4.89,4.9,158.37378321,0.04331969222194498
2012-04-01,4.89,4.89,4.77,4.89,308.5058652,-0.1085831209526189
2012-04-02,4.8,5.04,4.78,5.04,888.5786116,0.006928753469184201
2012-04-03,5.04,5.04,4.86,4.99,244.30290125,0.06308178868787273
2012-04-04,4.92,5.01,4.86,5.01,305.43564088,0.006927247446747664
2012-04-05,4.99,5.04,4.89,5,400.86488527,0.04736621209721115
2012-04-06,4.9,4.99,4.81,4.99,725.95771755,-0.09654324677381876
2012-04-07,4.94,4.94,4.7,4.7,228.65562961,-0.18560849723470163
2012-04-08,4.8,4.8,4.69,4.76,177.21795867,-0.29195014048688783
2012-04-09,4.7,4.85,4.7,4.75,158.55832457,-0.1916715489887606
2012-04-10,4.75,4.87,4.75,4.8,314.81763737,-0.10143275627607995
2012-04-11,4.86,4.92,4.78,4.92,425.60463177,-0.03837093395092506
2012-04-12,4.87,4.93,4.73,4.93,756.79455183,-0.09574651481507779
2012-04-13,4.88,4.95,4.81,4.93,1102.26589487,-0.010639869841496008
2012-04-14,4.94,5.01,4.94,4.96,544.64998903,0.15802296870729027
2012-04-15,4.96,4.99,4.92,4.99,114.97408628,0.09116254460624873
2012-04-16,4.93,4.98,4.93,4.98,487.00754874,0.0709964668053562
2012-04-17,4.99,4.99,4.95,4.98,282.51538718,0.08371125726173378
2012-04-18,4.98,5.18,4.98,5.16,839.9317501,0.23746679193862796
2012-04-19,5.17,5.18,5.06,5.13,562.65170965,0.2692572502331094
2012-04-20,5.15,5.38,5.09,5.38,372.83588987,0.38650621448552247
2012-04-21,5.4,5.43,5.19,5.24,301.94356518,0.479862469559019
2012-04-22,5.24,5.25,5.17,5.17,139.56864263,0.2513106881934455
2012-04-23,5.2,5.25,5,5,947.46097439,0.10540916130866762
